name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.463 Jupiters,15.18,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 433 b,30,6.043 Earths,9.81,2011
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,13.5 Jupiters,12.416,2010
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,13.5 Jupiters,12.416,2010
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-36 b,2794,3.216 Jupiters,14.364,2018
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102365 b,30,16 Earths,4.89,2010
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 108236 d,211,6.98 Earths,9.25,2020
HD 108236 e,211,9.71 Earths,9.25,2020
HD 108341 b,160,3.5 Jupiters,9.38,2014
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 131496 b,430,1.8 Jupiters,7.8,2011
HD 133131 A b,168,1.42 Jupiters,7.66,2016
HD 134060 c,78,29.29 Earths,6.29,2019
HD 136352 b,48,4.62 Earths,5.65,2019
HD 13808 b,92,11.2 Earths,8.36,2021
HD 14067 b,463,7.8 Jupiters,6.53329,2014
HD 141399 e,121,0.66 Jupiters,7.20856,2014
HD 145934 b,743,2.28 Jupiters,8.495,2015
HD 147018 b,132,2.12 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.61,2017
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 1605 c,290,3.62 Jupiters,7.52,2015
HD 160691 b,51,1.676 Jupiters,5.12,2000
HD 160691 d,51,10.5547 Earths,5.12,2004
HD 164509 b,173,0.443 Jupiters,8.1,2010
HD 14787 b,389,1.121 Jupiters,7.63,2018
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 149143 b,239,1.33 Jupiters,7.89,2005
HD 1502 b,623,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.03,2012
HD 155358 b,142,0.99 Jupiters,7.28,2007
HD 1605 c,290,3.62 Jupiters,7.52,2015
HD 160691 b,51,1.676 Jupiters,5.12,2000
HD 160691 d,51,10.5547 Earths,5.12,2004
HD 164509 b,173,0.443 Jupiters,8.1,2010
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 171238 b,146,2.72 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.17,2007
HD 173416 b,431,2.7 Jupiters,6.04188,2008
HD 17674 b,145,0.87 Jupiters,7.535,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177830 c,205,0.15 Jupiters,7.18,2010
HD 179079 b,227,25.74423 Earths,7.95,2008
HD 180053 b,447,2.194 Jupiters,7.93,2018
HD 18015 b,404,3.18 Jupiters,7.89,2018
HD 180617 b,19,12.214 Earths,9.12,2018
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,393,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 183263 b,177,3.95 Jupiters,7.86,2004
HD 183263 c,177,3.57 Jupiters,7.86,2008
HD 185269 b,170,1.01 Jupiters,6.67973,2006
HD 187123 c,150,1.99 Jupiters,7.83,2008
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 180617 b,19,12.214 Earths,9.12,2018
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,393,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 183263 b,177,3.95 Jupiters,7.86,2004
HD 183263 c,177,3.57 Jupiters,7.86,2008
HD 185269 b,170,1.01 Jupiters,6.67973,2006
HD 187123 c,150,1.99 Jupiters,7.83,2008
HD 190360 c,52,19.069 Earths,5.738,2005
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190647 b,178,1.985 Jupiters,7.78,2007
HD 190984 b,483,3.1 Jupiters,8.76,2009
HD 191939 d,175,10.1 Earths,8.97,2020
HD 200964 c,237,1.214 Jupiters,6.48605,2010
HD 202772 A b,527,1.017 Jupiters,8.324,2019
HD 203030 b,128,24.09 Jupiters,8.45,2006
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 205739 b,302,1.37 Jupiters,8.56,2008
HD 206255 b,245,34.2 Earths,7.62,2019
HD 206610 b,480,2.036 Jupiters,8.34,2009
HD 206610 b,480,2.036 Jupiters,8.34,2009
HD 20781 b,117,1.93 Earths,8.48,2019
HD 20781 c,117,5.33 Earths,8.48,2019
HD 20781 d,117,10.61 Earths,8.48,2019
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 206610 b,480,2.036 Jupiters,8.34,2009
HD 20781 b,117,1.93 Earths,8.48,2019
HD 20781 c,117,5.33 Earths,8.48,2019
HD 20781 d,117,10.61 Earths,8.48,2019
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.81,2001
HD 213885 b,157,8.83 Earths,7.95,2019
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.81,2001
HD 213885 b,157,8.83 Earths,7.95,2019
HD 21411 b,95,0.20734 Jupiters,7.88,2019
HD 214823 b,331,20.3 Jupiters,8.06,2016
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.81,2001
HD 213885 b,157,8.83 Earths,7.95,2019
HD 21411 b,95,0.20734 Jupiters,7.88,2019
HD 214823 b,331,20.3 Jupiters,8.06,2016
HD 20794 c,20,2.4 Earths,4.26,2011
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.81,2001
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 20794 b,20,2.7 Earths,4.26,2011
HD 20794 c,20,2.4 Earths,4.26,2011
HD 208527 b,1018,9.9 Jupiters,6.38984,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 209458 b,158,0.73 Jupiters,7.65,1999
HD 210277 b,69,1.29 Jupiters,6.54348,1998
HD 210702 b,177,1.808 Jupiters,5.93022,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 212301 b,177,0.51 Jupiters,7.76,2005
HD 212771 b,363,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.81,2001
HD 213885 b,157,8.83 Earths,7.95,2019
HD 21411 b,95,0.20734 Jupiters,7.88,2019
HD 214823 b,331,20.3 Jupiters,8.06,2016
HD 215152 c,70,1.72 Earths,8.11,2018
HD 215152 d,70,2.801 Earths,8.11,2018
HD 215152 e,70,2.877 Earths,8.11,2018
HD 215497 b,132,6.3566 Earths,8.96,2009
HD 23127 b,306,1.527 Jupiters,8.58,2006
HD 233832 b,192,1.78 Jupiters,10.15,2018
HD 23596 b,170,9.03 Jupiters,7.26122,2003
HD 238090 b,50,6.89 Earths,9.71,2020
HD 238914 b,1694,6 Jupiters,8.770001,2018
HD 24064 b,979,12.89 Jupiters,6.74616,2015
HD 26965 b,16,8.47 Earths,4.42018,2018
HD 27894 c,143,0.162 Jupiters,9.36,2017
HD 28254 b,180,1.16 Jupiters,7.69,2010
HD 290327 b,184,2.43 Jupiters,8.99,2009
HD 30177 c,181,7.6 Jupiters,8.41,2016
HD 30562 b,85,1.22 Jupiters,5.77466,2009
HD 30856 b,428,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.13266,2010
HD 31527 b,125,10.47 Earths,7.49,2019
HD 31527 d,125,11.82 Earths,7.49,2019
HD 330075 b,148,0.48 Jupiters,9.36,2004
HD 331093 b,164,1.5 Jupiters,8.38,2021
HD 33142 c,396,5.97 Jupiters,7.96,2018
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 41004 B b,136,18.37 Jupiters,8.6078,2003
HD 4203 b,265,2.23 Jupiters,8.7,2001
HD 4208 b,112,0.81 Jupiters,7.783,2001
HD 42618 b,79,14.4 Earths,6.87,2016
HD 4313 b,445,1.927 Jupiters,7.83,2009
HD 44219 b,173,0.58 Jupiters,7.69,2010
HD 45364 b,112,0.1872 Jupiters,8.08,2008
HD 45364 b,112,0.1872 Jupiters,8.08,2008
HD 45364 c,112,0.6579 Jupiters,8.08,2008
HD 46375 b,96,0.226 Jupiters,7.91,2000
HD 4732 c,179,2.37 Jupiters,5.9,2012
HD 48265 b,295,1.525 Jupiters,8.05,2008
HD 49674 b,140,31.783 Earths,8.1,2002
HD 5608 b,190,1.681 Jupiters,6.00272,2012
HD 60292 b,1028,6.5 Jupiters,6.94657,2020
HD 62509 b,34,2.3 Jupiters,1.12512,2006
HD 64114 b,103,17.8 Earths,7.71,2019
HD 64114 b,103,17.8 Earths,7.71,2019
HD 65216 c,115,2.03 Jupiters,7.97,2013
HD 66141 b,222,6 Jupiters,4.37821,2012
HD 67087 c,250,4.85 Jupiters,8.05,2015
HD 68988 b,198,1.97 Jupiters,8.2,2001
HD 69830 b,41,10.2 Earths,5.96004,2006
HD 69830 c,41,11.8 Earths,5.96004,2006
HD 69830 d,41,18.1 Earths,5.96004,2006
HD 7199 b,118,0.27 Jupiters,8.06,2011
HD 72892 b,227,5.45 Jupiters,8.83,2016
HD 69830 d,41,18.1 Earths,5.96004,2006
HD 7199 b,118,0.27 Jupiters,8.06,2011
HD 72892 b,227,5.45 Jupiters,8.83,2016
HD 73526 b,317,3.08 Jupiters,8.99,2002
HD 73526 c,317,2.25 Jupiters,8.99,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,188,1.8 Jupiters,7.61,2003
HD 74156 c,188,8.06 Jupiters,7.61,2003
HD 7449 b,126,0.508 Jupiters,7.5,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 69830 d,41,18.1 Earths,5.96004,2006
HD 7199 b,118,0.27 Jupiters,8.06,2011
HD 72892 b,227,5.45 Jupiters,8.83,2016
HD 73526 b,317,3.08 Jupiters,8.99,2002
HD 73526 c,317,2.25 Jupiters,8.99,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,188,1.8 Jupiters,7.61,2003
HD 74156 c,188,8.06 Jupiters,7.61,2003
HD 7449 b,126,0.508 Jupiters,7.5,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 73526 b,317,3.08 Jupiters,8.99,2002
HD 73526 c,317,2.25 Jupiters,8.99,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,188,1.8 Jupiters,7.61,2003
HD 74156 c,188,8.06 Jupiters,7.61,2003
HD 7449 b,126,0.508 Jupiters,7.5,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76920 b,600,3.93 Jupiters,7.83,2017
HD 77338 b,150,15.9 Earths,8.63,2012
HD 73526 b,317,3.08 Jupiters,8.99,2002
HD 73526 c,317,2.25 Jupiters,8.99,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,188,1.8 Jupiters,7.61,2003
HD 74156 c,188,8.06 Jupiters,7.61,2003
HD 7449 b,126,0.508 Jupiters,7.5,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76920 b,600,3.93 Jupiters,7.83,2017
HD 77338 b,150,15.9 Earths,8.63,2012
HD 64114 b,103,17.8 Earths,7.71,2019
HD 65216 c,115,2.03 Jupiters,7.97,2013
HD 66141 b,222,6 Jupiters,4.37821,2012
HD 67087 c,250,4.85 Jupiters,8.05,2015
HD 68988 b,198,1.97 Jupiters,8.2,2001
HD 69830 b,41,10.2 Earths,5.96004,2006
HD 69830 c,41,11.8 Earths,5.96004,2006
HD 69830 d,41,18.1 Earths,5.96004,2006
HD 7199 b,118,0.27 Jupiters,8.06,2011
HD 72892 b,227,5.45 Jupiters,8.83,2016
HD 69830 d,41,18.1 Earths,5.96004,2006
